Date,Close,Open,High,Low,Vol
6/22/2022,19965.8,20720.2,20864.3,19780.2,125940
6/23/2022,21100.7,19967.3,21189.8,19907.5,110700
6/24/2022,21226.9,21100.9,21488.7,20743.9,104560
6/25/2022,21489.9,21226.9,21553.4,20917.5,66630
6/26/2022,21043.5,21489.9,21837.4,20989.7,67210
6/27/2022,20730.2,21037.7,21497.5,20568,84690
6/28/2022,20278,20727.9,21200.2,20210.5,83830
6/29/2022,20111.3,20278,20415.8,19880.7,98970
6/30/2022,19926.6,20111.3,20155.1,18682.7,127730
7/1/2022,19262.9,19926.6,20785.6,18980.1,150180
7/2/2022,19243.2,19275.4,19425.4,19006.4,58570
7/3/2022,19309.9,19243.4,19626.4,18794.4,65270
7/4/2022,20215.8,19310.6,20303.8,19052.5,92790
7/5/2022,20200.6,20215.8,20706.9,19315.4,122430
7/6/2022,20561.1,20180.4,20654.9,19785.3,105240
7/7/2022,21637.8,20557.9,21817.8,20282.7,115810
7/8/2022,21611.2,21637.1,22482.1,21207,439900
7/9/2022,21587.5,21610.4,21944.1,21338.4,190110
7/10/2022,20847.4,21587.4,21599.2,20689.7,204680
7/11/2022,19963.2,20847.2,20855,19897,160200
7/12/2022,19330.9,19963.2,20051.7,19279.6,167910
7/13/2022,20250,19331.6,20250.8,18942.2,249380
7/14/2022,20586,20250,20862.2,19664.9,205280
7/15/2022,20825.1,20586.1,21178.1,20393.4,164670
7/16/2022,21209.9,20825.2,21561.3,20484.4,136890
7/17/2022,20785.6,21209.8,21654.4,20755.2,132810
7/18/2022,22525.8,20785.6,22714.9,20770.6,279720
7/19/2022,23410.2,22529.3,23757.3,21581.8,308910
7/20/2022,23215.2,23412,24258,22944.4,281310
7/21/2022,23153,23219.9,23403.8,22360.2,217080
7/22/2022,22675.2,23150,23741.4,22524.2,197540
7/23/2022,22460.4,22683.6,22991,21971.7,137420
7/24/2022,22582.1,22449.8,22987.9,22281.3,126660
7/25/2022,21301.9,22582.3,22653.3,21275.4,206930
7/26/2022,21248.7,21301.6,21322.3,20737.3,201570
7/27/2022,22958.3,21248,23027.8,21047.5,242660
7/28/2022,23850,22957.7,24190.5,22611.6,268320
7/29/2022,23774.3,23850.2,24340,23451.4,221660
7/30/2022,23634.2,23774.2,24605.3,23521.8,168720
7/31/2022,23303.4,23634.2,24179.3,23236.2,138840
8/1/2022,23271.2,23303.4,23484.4,22863.8,162330
8/2/2022,22988.6,23271.1,23423.3,22670.8,177300
8/3/2022,22820.8,22988.7,23623.7,22698.6,174660
8/4/2022,22612.1,22822.2,23214.5,22438.7,181190
8/5/2022,23308.2,22613.3,23447.6,22593.5,208900
8/6/2022,22944.2,23308.2,23344.4,22923.6,94440
8/7/2022,23175.3,22944.2,23387.7,22852.3,99360
8/8/2022,23816.3,23175.3,24234.1,23160.6,197940
8/9/2022,23146.7,23818.1,23912,22886.5,169620
8/10/2022,23962.9,23150.3,24209.9,22714.7,243610
8/11/2022,23935.3,23963.3,24873.5,23864,285360
8/12/2022,24398.7,23935.3,24440.8,23616.4,194960
8/13/2022,24442.5,24398.9,24882.9,24318.7,170590
8/14/2022,24302.8,24442.1,24997.3,24172.2,177250
8/15/2022,24101.7,24303.3,25205.7,23784.5,279280
8/16/2022,23856.8,24102.6,24240.8,23693.8,201700
8/17/2022,23338,23855.8,24423.5,23191.6,239530
8/18/2022,23203.6,23337.7,23578,23131.3,160970
8/19/2022,20831.3,23201.6,23202.3,20807.8,339470
8/20/2022,21138.9,20830.7,21357.4,20784.8,206940
8/21/2022,21517.2,21138.9,21692.4,21077.4,177520
8/22/2022,21416.3,21516.8,21517.4,20912.1,251830
8/23/2022,21517.2,21416.5,21661,20919.6,228650
8/24/2022,21365.2,21516.2,21832.3,21171.1,202400
8/25/2022,21565.4,21365.4,21801.2,21324.8,190150
8/26/2022,20249.9,21564.2,21815.3,20122.4,322160
8/27/2022,20033.9,20249.9,20343.6,19849.8,187340
8/28/2022,19550.2,20034.2,20150.8,19542.9,159600
8/29/2022,20295.8,19551.3,20394.5,19551.2,248040
8/30/2022,19792.6,20295.6,20558.2,19559.7,308410
8/31/2022,20043.9,19793.4,20469.1,19793.4,318170
9/1/2022,20126.1,20049.9,20202.7,19584.4,275080
9/2/2022,19952.7,20131.6,20428.2,19764.7,272220
9/3/2022,19831.4,19952.8,20043.8,19660.7,157850
9/4/2022,19999.9,19832.2,20017.8,19594.7,158270
9/5/2022,19793.1,19999.9,20042.9,19650.7,238710
9/6/2022,18786.4,19793.4,20169.3,18723.3,402430
9/7/2022,19281.5,18786.3,19445.9,18548.4,319100
9/8/2022,19317.4,19281.5,19444.7,19034.5,291430
9/9/2022,21365.2,19318.8,21545.7,19294.1,480370
9/10/2022,21650.4,21363.8,21790.6,21139.9,331120
9/11/2022,21834.9,21650.4,21836.4,21363,297120
9/12/2022,22395.3,21836.6,22465.4,21581.6,431980
9/13/2022,20175.5,22395.3,22702.5,19909.6,485320
9/14/2022,20222.5,20175.5,20503.7,19654.2,374220
9/15/2022,19701.7,20222.3,20321.4,19532.3,358420
9/16/2022,19802.4,19701.9,19883,19352.9,315590
9/17/2022,20113.5,19802.8,20178.6,19761,204580
9/18/2022,19418.8,20113.9,20113.9,19347.7,273110
9/19/2022,19538.9,19417.4,19666.6,18277.8,423430
9/20/2022,18872.4,19538.9,19626.3,18742.6,361180
9/21/2022,18489,18875.1,19758.4,18191.8,446850
9/22/2022,19404,18488.1,19490.9,18371,448630
9/23/2022,19293.5,19404.1,19477.3,18554.8,431150
9/24/2022,18925.2,19288.4,19310.6,18812,258500
9/25/2022,18803.2,18925.1,19125.1,18659.6,209710
9/26/2022,19225.7,18803.1,19304.8,18695.2,516030
9/27/2022,19081,19228.8,20361.2,18850.4,660120
9/28/2022,19411,19083.4,19757.8,18505.3,581190
9/29/2022,19593,19420.2,19631.5,18877.9,449570
9/30/2022,19423,19593.4,20174.9,19208.9,490290
10/1/2022,19311.9,19422.9,19480.3,19172.6,173910
10/2/2022,19052.2,19311.9,19389.9,18937.3,222820
10/3/2022,19628.3,19057.6,19676,19001.3,333030
10/4/2022,20340.2,19629.7,20436.1,19506.4,368170
10/5/2022,20157.5,20340.5,20353.8,19761.7,352760
10/6/2022,19956.7,20157.5,20436.7,19873.7,370600
10/7/2022,19531.3,19962.4,20051.4,19352.1,263500
10/8/2022,19415,19530.2,19612.2,19274.7,113500
10/9/2022,19441,19416.3,19552.1,19329.6,127530
10/10/2022,19134.6,19441.7,19520.7,19057,243770
10/11/2022,19059.1,19134.3,19261.3,18868.7,288570
10/12/2022,19154.8,19058.5,19212.6,19010.6,242180
10/13/2022,19379.8,19154.6,19494.4,18207.9,455130
10/14/2022,19181.8,19379.8,19933.9,19098.6,400450
10/15/2022,19068.7,19181.7,19218.7,19000.8,123660
10/16/2022,19261.9,19068.8,19411.9,19066,140950
10/17/2022,19548.2,19262.2,19663.5,19163.6,248400
10/18/2022,19328.2,19548.4,19692.9,19102.8,290070
10/19/2022,19123.9,19328.2,19358.6,19101.2,209280
10/20/2022,19042.9,19125.1,19334.5,18935.6,253200
10/21/2022,19162.6,19042.9,19245.5,18703.3,294660
10/22/2022,19204.8,19162.6,19249.9,19116.1,118240
10/23/2022,19571.2,19204.8,19680.9,19092.5,180630
10/24/2022,19331.5,19571.2,19588.6,19177.2,286940
10/25/2022,20082.7,19331.8,20406.9,19249,371540
10/26/2022,20769.5,20086.8,20981.5,20062.9,427990
10/27/2022,20292.9,20769.5,20867.9,20231.6,365490
10/28/2022,20594.4,20293,20744,20058.2,318900
10/29/2022,20809.8,20594.2,21038.1,20561.9,276540
10/30/2022,20626.3,20809.4,20922.3,20522.5,207630
10/31/2022,20496.3,20626,20822.4,20260,327470
11/1/2022,20483.5,20496.1,20676.6,20348.1,302720
11/2/2022,20154.4,20482.9,20778.3,20065.8,420230
11/3/2022,20206.4,20154,20384.5,20066.6,347230
11/4/2022,21145.9,20206.4,21281.9,20184.6,499500
11/5/2022,21301.6,21145.7,21464.7,21084.1,261230
11/6/2022,20916.3,21298.7,21360.4,20901,242260
11/7/2022,20589,20916.3,21055.4,20410.5,414240
11/8/2022,18527.4,20589,20667.5,17260,865100
11/9/2022,15886.9,18538.9,18583.8,15603.3,869570
11/10/2022,17589.1,15887,18138.2,15799.3,720740
11/11/2022,17049.9,17589.1,17679.4,16435.5,466350
